teamID,yearID,total_payroll,  wins,games,win_percentage,franchID
SLN,2015,146449583,76,162,0.469,SLN
SLN,2016,146449583,86,162,0.531,SLN
SLN,2017,146449583,78,162,0.481,SLN
SLN,2018,146449583,89,162,0.549,SLN
SLN,2019,146449583,69,153,0.451,SLN
SLN,2020,146449583,27,60,0.45,SLN
TBR,2015,146449583,80,162,0.494,TBR
TBR,2016,146449583,68,162,0.42,TBR
TBR,2017,146449583,80,162,0.494,TBR
TBR,2018,146449583,90,162,0.556,TBR
TBR,2019,146449583,96,162,0.593,TBR
TBR,2020,146449583,40,60,0.667,TBR
TEX,2015,146449583,88,162,0.543,TEX
TEX,2016,146449583,95,162,0.586,TEX
TEX,2017,146449583,78,162,0.481,TEX
TEX,2018,146449583,67,162,0.414,TEX
TEX,2019,146449583,78,162,0.481,TEX
TEX,2020,146449583,22,58,0.379,TEX
TOR,2015,146449583,93,162,0.574,TOR
TOR,2016,146449583,89,162,0.549,TOR
TOR,2017,146449583,76,162,0.469,TOR
TOR,2018,146449583,73,162,0.451,TOR
TOR,2019,146449583,67,162,0.414,TOR
TOR,2020,146449583,32,60,0.533,TOR
WAS,2015,146449583,83,162,0.512,WAS
WAS,2016,146449583,95,162,0.586,WAS
WAS,2017,146449583,97,162,0.599,WAS
WAS,2018,146449583,82,162,0.506,WAS
WAS,2019,146449583,93,162,0.574,WAS
WAS,2020,146449583,26,60,0.433,WAS
